,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sepsis,-0.0005438516,0.00023528039,0.005108512,0.009012716,-0.009299126,-0.007115301,0.00647925,0.008975621,-0.0050205635,-0.003760275,0.0073649315,-0.0015283679,-0.0045226864,0.006555642,-0.0048511764,-0.0018294376,0.002872017,0.000996288,-0.00829058,-0.009448319,0.007316536,0.0050823954,0.006751256,0.0007659394,0.006352261,-0.0034002238,-0.0009475145,0.0057545626,-0.0075333295,-0.003940326,-0.0075131156,-0.00093316875,0.009545544,-0.0073167454,-0.002349035,-0.0019128744,0.008073389,-0.0059248386,4.136744e-05,-0.004765739,-0.009612568,0.005014291,-0.008758671,-0.0043740496,-3.708559e-05,-0.00030263973,-0.0076626334,0.009613351,0.004979323,0.009230584,-0.008165732,0.0044876877,-0.0041356,0.0008177182,0.0084957285,-0.0044641513,0.00451343,-0.0067920773,-0.0035506575,0.0093989875,-0.0015765617,0.00031134312,-0.0041346727,-0.0076971776,-0.0015137113,0.0024769388,-0.0008970199,0.0055541713,-0.0027581963,0.002259312,0.0054424126,0.008362445,-0.0014390864,-0.009220662,0.0043778946,0.00058160786,0.007437557,-0.00081033295,-0.002649351,-0.008750831,-0.0008642627,0.0028309417,0.005411245,0.0070598605,-0.0056954343,0.0018521916,0.006093355,-0.0047951946,-0.0031071275,0.0067925705,0.0016439159,0.00020596827,0.0034732772,0.0002322144,0.009626161,0.005063807,-0.008910566,-0.007046458,0.00090830406,0.0063959374
failure,-0.008654916,0.0036522688,0.005174745,0.005721386,0.0074495384,-0.0062249773,0.0011465178,0.006114702,-0.0028669422,-0.0061851805,-0.0004608629,-0.008381357,-0.005606839,0.0071025183,0.0033831454,0.0071774274,0.0068353433,0.0075378483,-0.0037481303,-0.00057371217,0.0023851509,-0.004462577,0.008312012,-0.009874691,0.0067624366,0.002935986,-0.0049798135,0.004365395,-0.0018286668,0.0067584137,0.009972294,-0.0043675685,-0.00059652346,-0.005755015,0.0038053843,0.0028982542,0.0068328553,0.006042226,0.009518981,0.009208056,0.0078589255,-0.007005031,-0.00913215,-0.0002949984,-0.0030355325,0.007880737,0.0059513343,-0.001584699,0.0014761452,0.0017819566,0.00791592,-0.009578192,-0.0001364196,0.003428915,-0.0009828416,0.008432798,0.009002075,0.006557754,-0.00073362567,0.0077267503,-0.008507058,0.0032432494,-0.0046425853,-0.0051488387,0.003589914,0.00548794,0.007732423,-0.00570183,0.0073809843,0.0066447975,-0.0037504341,-0.008755396,0.005463251,0.0064985803,-0.0007053118,-0.0066747563,-0.0071452325,-0.0024000162,0.0051374235,-0.0036968482,-0.009432022,0.0039328486,0.004832252,-0.0063415994,0.001193211,-0.0020444077,9.6717675e-05,-0.009903415,0.0027341251,-0.004783132,0.0011900782,-0.0015501764,0.002154169,-0.007883389,-0.0026691733,0.0026950063,0.0054382277,-0.002461061,-0.009499497,0.0044470876
pneumonia,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
bleed,-0.008278841,0.0093253385,-0.00020610492,-0.0019552058,0.0045946916,-0.0041133882,0.0028095236,0.0069922726,0.006032989,-0.007516828,0.0093542915,0.0046396684,0.003998602,-0.006212975,0.008463269,-0.0021572113,0.008830766,-0.005354901,-0.008115285,0.0068297465,0.0017035559,-0.0021715926,0.0094757285,0.009524195,-0.009766221,0.002508721,0.0061830133,0.0038803362,0.0019694392,0.00042417544,0.00069422025,-0.0038290876,-0.007159619,-0.0021060559,0.00391347,0.008892704,0.009306344,-0.006027498,-0.009425966,0.009732359,0.0034123403,0.0051618875,0.0062736766,-0.0027781376,0.0073666763,0.0028563328,0.0028605917,-0.0023826421,-0.003152949,-0.0023866675,0.004331908,1.942941e-05,-0.009545057,-0.009726496,-0.0061802226,-9.788938e-05,0.0019961689,0.009428033,0.005571847,-0.004317865,0.0002963062,0.004970285,0.007701239,-0.0011818482,0.004337201,-0.005759927,-0.0008264037,0.008177512,-0.002403705,-0.00962693,0.0057330816,-0.003942096,-0.0012288018,0.009970798,-0.0022136539,-0.004732278,-0.0053912043,0.007042819,-0.005686122,0.002098111,-0.005300416,0.0061275535,0.004329145,0.0026416837,-0.0015020384,-0.0027386295,0.00905736,0.005179379,-0.0021135744,-0.009506927,-0.007401609,-0.0010319328,-0.0008439407,-0.0025191405,0.009706407,-0.00046465715,0.0059296954,-0.0075080786,-0.0024763383,-0.0055804793
acute,-0.0072305044,0.001253056,-0.0072793276,-0.0022480236,0.003770031,0.0058348496,0.001354118,0.002237372,-0.004186536,0.00727264,-0.0063468493,0.0046312287,-0.008183494,0.0020678851,-0.004922379,-0.004265606,-0.0030998886,0.005595718,0.0057920297,-0.0050216564,0.0008354028,-0.008309153,0.0077964454,0.009259592,-0.0026606182,0.0007629995,0.00067544845,0.0053626066,-0.008691889,0.00057978,0.006937042,0.0022502453,0.0011475768,-0.009421969,0.008502648,-0.006090364,-0.0030532468,0.0034598226,-0.0008038914,0.0012783858,0.0017554332,-0.006924557,-0.009689033,0.00911478,0.006294179,-0.006907922,0.00332442,0.00020948294,0.004749434,-0.007146633,0.0041690194,0.0042408286,0.009994917,-0.0045540472,-0.0015031303,-0.007313856,-0.009670242,-0.009081596,-0.0010184878,-0.0065542962,0.004891881,-0.006104215,0.0025733104,0.0006578382,-0.003452999,-0.00087705447,0.009969528,0.009318786,-0.004671182,0.009168083,-0.005688141,0.0059365747,-0.003059426,0.0034585022,0.0030909122,0.006884246,-0.0024272618,0.008809805,0.007539152,-0.009525591,-0.00808387,-0.0076134014,0.0028508352,-0.0027209732,-0.006929307,-0.008132013,0.0084414175,0.001993037,-0.009321715,-0.004774509,0.0032692559,-0.0046467124,0.005219115,-0.0041886377,0.0027516873,-0.008004401,0.006403719,0.0047248504,0.0008224924,0.0028982267
breath,-0.008783256,0.0021782017,-0.00089702936,-0.009326689,-0.009400034,-0.0014370437,0.004473075,0.0038019274,-0.0065193227,-0.006861147,-0.005020173,-0.0022951441,-0.007175677,-0.009581825,-0.0027010767,-0.0084264595,-0.006048554,-0.0056771217,-0.0023289004,-0.0017220841,-0.00889338,-0.0006714509,0.008099353,0.0077451174,-0.0072123217,-0.0037286605,0.0030924168,-0.009590412,0.0014409561,0.006542786,0.0057866615,-0.008775551,-0.0045233113,-0.008176161,5.1805022e-05,0.009374591,0.0060164155,0.005062432,0.005032945,-0.0032441178,0.009548488,-0.007410268,-0.0072472487,-0.0022582256,-0.00077519927,-0.0032265335,-0.0006153253,0.0074837306,-0.00071985583,-0.0016493271,0.0028064442,-0.008426524,0.007884103,0.008465242,-0.009616542,0.0024749443,0.009936306,-0.0076596597,-0.0069729607,-0.0077553056,0.008416402,-0.0006672049,0.009162485,-0.008231255,0.0037423247,0.0026939004,0.00075361994,0.0024085743,-0.007576789,-0.009311283,0.0023661542,0.0061295964,0.00803288,0.005728126,-0.00071452244,0.0083138645,-0.009366514,0.0034303067,0.00022026354,0.0038644797,0.007288031,-0.006706403,0.0055271536,-0.009466559,-0.0008363592,-0.008662023,-0.0050748317,0.009284403,-0.0017892154,0.0029033748,0.009140849,0.008956212,-0.008228013,-0.0030242736,0.009919103,0.0050937035,-0.0015045938,-0.008735898,0.0029730937,-0.006795373
esophageal,0.008124001,-0.0044400357,-0.0010710843,0.0010514051,-0.00017022314,0.0011501528,0.006198035,3.7521146e-05,-0.0032814809,-0.0014919358,0.005867089,0.0014799511,-0.0006654378,0.009333454,-0.004926595,-0.0008644531,0.0091991825,0.006707099,0.0015146299,-0.008887127,0.0011689899,-0.0022232379,0.009365697,0.0012381483,0.0015253519,0.0024125949,-0.0018519295,-0.0050085764,0.00019986928,-0.0019962995,0.0065987664,0.0089599565,-0.0006476067,0.0029410848,-0.006128379,0.0017624863,-0.006925593,-0.008709915,-0.0059060236,-0.009048563,0.0072316076,-0.0057992176,0.008283874,-0.007212395,0.0034750956,0.009687934,-0.0078073503,-0.009961317,-0.0043461854,-0.0027035344,-0.00025735862,-0.008885939,-0.008616328,0.0027374628,-0.008193724,-0.009090513,-0.0023458826,-0.008634553,-0.00705851,-0.008401196,-0.00029715235,-0.0045826556,0.0066585424,0.001510602,-0.0033857906,0.0061313207,-0.0060290135,-0.004592597,-0.007274732,-0.004307872,-0.0018338043,0.006508216,-0.0027128079,0.004922074,0.006900493,-0.0074772136,0.004583152,0.006119104,-0.0029853028,0.0066296803,0.0061170426,-0.006405033,-0.0067696706,0.0025669166,-0.0016395788,-0.0060891397,0.009539611,-0.0051237615,-0.0065270667,-0.00011890791,-0.0026623267,0.00046228286,-0.0035542052,-0.00038325184,-0.00064620026,0.0008446822,0.00827967,-0.005751541,-0.0016542623,0.0055511105
artery,0.008111722,-0.0044316077,0.008895448,0.008311533,-0.0043747434,0.00013224864,0.0045735016,-0.0037036447,-0.0058282274,-0.006447617,-0.00074184645,-0.00036164853,0.0046225213,-0.0024870378,0.00014943322,0.0023711463,0.0048859883,-0.00031425158,-0.0063870326,-0.009325892,0.00013531554,0.00716532,0.0014119841,-0.009103199,-0.007895339,0.0065700947,-0.004121098,0.006179655,-0.0069610416,0.008461075,-0.0064069694,0.0032979765,-0.0009909937,-0.0071228035,-0.0033304223,-0.00065160537,-0.0056545073,-0.0012510854,-0.007729497,0.0023420106,0.008954025,-0.0024759062,-0.0009892397,0.0038027319,0.008950544,-0.0058205854,-0.006958802,-0.0029493386,0.009188527,0.00080814736,-0.008407316,-0.0017714588,0.009648721,-0.007910542,-0.005459949,0.009409758,-0.00896568,0.0039398447,0.00057382614,0.006612474,0.008362897,-0.0027496393,-0.004023815,0.008808311,0.0020871572,0.0067458027,-0.009603257,0.010007502,-0.0016981297,-0.0058943713,0.0028952898,-0.0005177647,0.0049393545,-0.0021927692,-0.003920187,0.002218808,0.00824368,-0.00491506,0.0027323007,-0.00804967,-0.0071667666,-0.00038436698,-0.009109637,0.0030468,0.0016217411,-0.0022710275,0.005274561,0.0098392125,0.008680704,-0.0018105105,0.0024999056,-0.0039012085,-0.00845352,0.006313722,-0.0017474846,-0.0005496391,-0.0015250745,-0.0046524825,0.0040784604,-0.004627274
accident,-0.009604639,0.0090230005,0.0041067316,0.009310375,0.006716238,0.0028603966,0.0100803645,-0.004196654,-0.006975253,0.0042714197,0.0036153698,-0.005728348,0.009880283,-0.0035651047,0.00974447,0.00084232655,-0.0063892277,-0.002095056,-0.0073422524,-0.003084197,0.0011466106,0.009884313,0.009311291,-0.0066470173,0.0036136378,0.0023392315,-0.0026884167,-0.009372853,0.000845356,-0.008151317,0.006341041,-0.005762675,0.0056808083,0.009692845,-0.0002737923,0.0049385275,-0.00197406,0.0072946614,0.003810437,-0.009262498,-0.002546008,0.0035776093,2.6694497e-05,-0.00096619176,-0.0008314104,-0.001668244,0.00048165832,0.0041717696,-0.004316083,-0.0038499916,0.00013226268,9.8725766e-05,-0.00013804088,-0.0050295475,0.0042392053,-0.0021490115,0.0020634988,0.00070081174,0.0059838723,-0.0069883103,-0.006864153,-0.004494144,0.009496793,-0.0016724927,-0.009513339,-0.00016333268,-0.004553818,0.0062854635,-0.009935468,0.0029953076,-0.009371592,0.0013658343,0.006215165,0.0074053225,-0.007473907,-0.00603999,-0.006937358,-0.007880247,-0.009585555,-0.0020628213,-0.0009905458,-0.007253156,0.0066292197,0.0012153155,0.005949572,0.0015617338,0.0010631997,-0.007420267,-0.0020831286,0.004338631,-0.004863808,0.001298882,0.002716041,-0.0015197787,0.010111667,0.008421388,0.0026136816,0.0070519904,0.0058839787,-0.0057465867
shortness,-0.005236707,-0.006651877,-0.007811232,0.008378254,-0.0020124232,-0.006821815,-0.0040376824,0.0051735663,-0.0029216285,-0.0037506497,0.0016241786,-0.0027982455,-0.001556242,0.00107862,-0.0029940198,0.008492777,0.0039226515,-0.010043184,0.00621453,-0.0068286797,0.00077454036,0.004484196,-0.0051172385,-0.002113923,0.008084339,-0.004235323,-0.007690095,0.0092524495,-0.0021728824,-0.004772178,0.00861688,0.004317611,0.004308666,0.009301923,-0.008461782,0.0052926415,0.002074121,0.004197184,0.0016856522,0.004428568,0.0044947006,0.006073937,-0.00324302,-0.004546785,-0.00034917763,0.002541469,-0.0032557808,0.006046058,0.004198498,0.0077634645,0.0025565426,0.008113118,-0.0013976173,0.008034182,0.0036765109,-0.0081042815,-0.00392617,-0.0025306134,0.004887145,-0.0008714062,-0.0028224988,0.00785311,0.009378889,-0.0016691072,-0.0052048275,-0.0046941675,-0.0048712357,-0.0095554385,0.0013045428,-0.0042221593,0.002494408,0.0056481007,-0.0040302943,-0.009561766,0.001527616,-0.0066732187,0.0024801572,-0.0037788434,0.0070543266,0.00065073103,0.003594277,-0.002787828,-0.0017194176,0.0076822573,0.0014370736,-0.0058869184,-0.0077888924,0.0012225806,0.006397194,0.0056129456,-0.008958471,0.008652574,0.004031276,0.0075272676,0.009831996,-0.0072967256,-0.009014177,0.0058448208,0.009423414,0.003493092
