,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sepsis,-0.00053329166,0.00024547146,0.005107096,0.0090102,-0.009303609,-0.007119316,0.0064736255,0.008989333,-0.0050151157,-0.0037604182,0.007375766,-0.0015390804,-0.0045357565,0.0065440875,-0.004855727,-0.0018219713,0.0028677545,0.000984439,-0.008275462,-0.009456884,0.0073131397,0.0050770035,0.00675269,0.00076433114,0.0063440884,-0.0034088325,-0.00094375166,0.0057627177,-0.007518908,-0.003944575,-0.0075128656,-0.00092477433,0.009542668,-0.007307239,-0.0023302822,-0.0019323119,0.0080823675,-0.0059408746,4.984502e-05,-0.0047676153,-0.00960748,0.0050146957,-0.008758169,-0.0043812683,-2.3350372e-05,-0.00029629678,-0.00766007,0.009619544,0.004980552,0.0092302915,-0.008160748,0.004503396,-0.0041305157,0.00082255417,0.008497734,-0.004461719,0.0045208815,-0.006792448,-0.0035381466,0.009398166,-0.0015728192,0.00032792584,-0.0041389284,-0.0076881247,-0.0015127664,0.0024716689,-0.0009001383,0.0055471077,-0.0027556345,0.002260696,0.0054502315,0.008349327,-0.0014484838,-0.009205985,0.0043732203,0.00056880986,0.007441771,-0.0008130441,-0.0026494567,-0.008756042,-0.0008496707,0.0028278732,0.0053921314,0.0070569515,-0.0056976667,0.0018621454,0.006105002,-0.0047929487,-0.003094819,0.006789889,0.0016307614,0.00018812774,0.0034647982,0.00022259023,0.009636449,0.0050683143,-0.00891241,-0.0070379535,0.00090638263,0.006379314
failure,-0.008620659,0.0036770364,0.005174327,0.0057626115,0.0074801794,-0.0061938213,0.0011452532,0.006094428,-0.0028465758,-0.006175953,-0.000414531,-0.00838096,-0.005567638,0.0071072183,0.0033651036,0.00723804,0.006820841,0.0075070136,-0.0037701365,-0.0005967497,0.002362511,-0.004509266,0.008380344,-0.009880805,0.0067656133,0.0028938265,-0.004937542,0.004376481,-0.0017750043,0.006701529,0.009998446,-0.0043656924,-0.0005992937,-0.005702917,0.0038529756,0.002822881,0.006894731,0.0060904194,0.009533258,0.009249171,0.007893343,-0.0069694403,-0.009145702,-0.00033714995,-0.0030814928,0.007912112,0.005933684,-0.0015637332,0.001510306,0.0017983475,0.007842421,-0.009518812,-0.00019023099,0.003486573,-0.00094031444,0.008393559,0.009005923,0.0065646064,-0.0007123102,0.007701229,-0.008542276,0.0032353557,-0.0046388553,-0.005106279,0.0035574303,0.0054022754,0.0077572684,-0.0057426463,0.007403562,0.0066462755,-0.0037321008,-0.0087311985,0.0054817866,0.0065010074,-0.0007811263,-0.006720284,-0.0070933336,-0.002494493,0.0051385225,-0.0036542718,-0.009391054,0.0038571174,0.0048585813,-0.0063839047,0.0011891528,-0.002077594,1.5280017e-05,-0.009889609,0.0027114854,-0.004767356,0.0011008119,-0.0015530904,0.002171463,-0.007857534,-0.0026641926,0.002653477,0.0053864648,-0.002402397,-0.009516719,0.0044836965
pneumonia,9.456396e-05,0.0030773198,-0.006812645,-0.0013754654,0.007668581,0.0073464094,-0.0036732971,0.0026427018,-0.00831713,0.006205486,-0.0046373224,-0.0031641065,0.009311357,0.0008733857,0.007490703,-0.0060740625,0.005160507,0.009922823,-0.0084573915,-0.0051356913,-0.007064837,-0.0048626517,-0.0037785638,-0.008536199,0.007955606,-0.004843938,0.008423613,0.0052625705,-0.006550026,0.0039578713,0.0054701497,-0.007426536,-0.0074057197,-0.0024752307,-0.008625725,-0.0015815723,-0.00040343284,0.0032996845,0.0014418805,-0.00088142155,-0.005594058,0.0017303658,-0.0008973718,0.006793691,0.00397359,0.0045294715,0.0014343059,-0.0026998555,-0.0043668128,-0.0010320747,0.0014370275,-0.0026460087,-0.007073783,-0.007805307,-0.009121787,-0.0059351693,-0.0018474245,-0.0043238713,-0.0064606704,-0.0037173224,0.0042891586,-0.0037390434,0.008378175,0.0015339935,-0.0072423196,0.0094337985,0.0076312125,0.005493282,-0.0068488456,0.005822679,0.004009093,0.0051853694,0.0042559016,0.0019397545,-0.0031701624,0.008353845,0.00961218,0.003792603,-0.002836995,7.1275235e-06,0.0012188185,-0.008458325,-0.008223945,-0.00023101569,0.0012372875,-0.0057433806,-0.0047252737,-0.0073460746,0.008328616,0.00012129784,-0.0045093987,0.0057017053,0.009180015,-0.004099872,0.007964682,0.005375434,0.005879123,0.0005125904,0.008213084,-0.0070190406
bleed,-0.008249846,0.009305021,-0.00019488801,-0.001959933,0.004604909,-0.0041042073,0.0027689089,0.0069758436,0.0060480693,-0.00751464,0.009367012,0.0046699718,0.0039531244,-0.0062491153,0.008484355,-0.0021442438,0.008822915,-0.005382697,-0.008131676,0.006817073,0.0016570889,-0.0021615294,0.009502148,0.009506182,-0.009779737,0.0025168236,0.0061342777,0.00386271,0.00200002,0.0004530192,0.0006921707,-0.0038310734,-0.007129263,-0.0021150673,0.00391974,0.008869969,0.009266596,-0.005970042,-0.00942278,0.009747518,0.0034313279,0.0051483293,0.006279374,-0.0027785911,0.007355795,0.0028449178,0.0028542154,-0.0023854394,-0.0031431066,-0.0023952292,0.0042754384,6.7015506e-05,-0.009585837,-0.009676862,-0.006153095,-0.00012308119,0.0019905441,0.00945315,0.0055902204,-0.0042863204,0.00027271235,0.0049765664,0.0076872935,-0.0011537599,0.0043331925,-0.0057996917,-0.0007834283,0.008129256,-0.0023816468,-0.009658052,0.0057631275,-0.00393066,-0.0012039802,0.009987579,-0.0022564738,-0.0047434988,-0.005358548,0.006990676,-0.005713347,0.002111273,-0.0052599106,0.0061343727,0.004371505,0.002626486,-0.0014932697,-0.0027331053,0.009012575,0.0052284114,-0.002155,-0.009488295,-0.0074045323,-0.0010472847,-0.00082455727,-0.0025502844,0.0096968,-0.00047202955,0.0059042815,-0.007468007,-0.0024979454,-0.0055679516
acute,-0.0072028805,0.0012466629,-0.0072178384,-0.0022408492,0.0036968926,0.00577569,0.0012256195,0.002157216,-0.0041332855,0.0072043836,-0.0063877287,0.0046047745,-0.008237557,0.002097484,-0.004940765,-0.0042515765,-0.003144024,0.005618067,0.0058067543,-0.0049908133,0.00081697584,-0.008410431,0.007787524,0.009246144,-0.0026933635,0.0008326275,0.0007149009,0.0054232758,-0.008677145,0.00061365264,0.006956643,0.0022332394,0.0011813102,-0.009350806,0.008441825,-0.0062113325,-0.0029680864,0.003511384,-0.0007865788,0.0013110609,0.0017612167,-0.006886815,-0.00972329,0.009077882,0.006278165,-0.0069686174,0.003379108,0.00018109786,0.004762212,-0.0071445457,0.004037687,0.0043066163,0.010027294,-0.0045214933,-0.0014076359,-0.007305013,-0.009750023,-0.009113335,-0.0011031388,-0.0065032993,0.004906684,-0.006100012,0.0025475835,0.000696211,-0.0033860132,-0.00092858134,0.009998666,0.009226447,-0.004517467,0.0091611305,-0.0056755,0.005961008,-0.0030831555,0.0034480114,0.003045698,0.006978355,-0.0024243824,0.008804963,0.0075749606,-0.009539593,-0.007973077,-0.0076581375,0.0028984463,-0.002756888,-0.0069365096,-0.008124814,0.008353385,0.0020261444,-0.009309636,-0.0048216227,0.0031986139,-0.0046400786,0.0052411365,-0.004220555,0.0026587106,-0.008036735,0.0063096094,0.0047815247,0.00082699745,0.0029614908
breath,-0.008739761,0.0021325261,-0.000880588,-0.009335879,-0.009422861,-0.0014131094,0.004461233,0.0037364073,-0.0065188105,-0.006856855,-0.0050160415,-0.002328742,-0.007253675,-0.009596195,-0.0027482542,-0.008400636,-0.006069664,-0.005689253,-0.0023302278,-0.0017002634,-0.008926073,-0.0007035772,0.008154117,0.0076949685,-0.007185423,-0.0036711325,0.0031281717,-0.00960118,0.0014220998,0.0065144124,0.005773302,-0.008782254,-0.004516563,-0.008173612,4.9207276e-05,0.00929388,0.0060004587,0.0050679534,0.005054679,-0.0032754557,0.009538916,-0.007377677,-0.0072965412,-0.002254863,-0.0007564089,-0.0032358381,-0.0005923991,0.0075089256,-0.0006865745,-0.0016288606,0.0027436796,-0.008391532,0.00788455,0.008518619,-0.009579144,0.0024445201,0.009894246,-0.007678264,-0.0069942945,-0.0077751917,0.008418496,-0.000655975,0.009172975,-0.008191356,0.003723922,0.0026536228,0.00072717754,0.0023707284,-0.0075058085,-0.009355072,0.002353278,0.006189937,0.008016275,0.0057375487,-0.0007835329,0.008332176,-0.009346924,0.0033974827,0.00025653487,0.0038662541,0.0074027935,-0.0067349006,0.005559923,-0.0095195845,-0.00081864203,-0.008702245,-0.0050884644,0.009298859,-0.0018432243,0.0029317543,0.009086417,0.008966579,-0.008225806,-0.0030154232,0.009922774,0.0051346724,-0.0015495935,-0.008713022,0.002977707,-0.0067521622
esophageal,0.008128673,-0.0044510546,-0.0010949817,0.0010279162,-0.00018099014,0.0011344652,0.006139397,5.2554888e-06,-0.0032509714,-0.0015134353,0.0058844597,0.0014905102,-0.000688016,0.009346001,-0.0048965705,-0.0008453831,0.009184622,0.0067266547,0.0015125572,-0.008904787,0.0011765546,-0.0022395689,0.009363001,0.001198718,0.0015059173,0.00239551,-0.0018554017,-0.0050174417,0.0002001978,-0.0020041033,0.006621826,0.008946201,-0.0006560546,0.0029687672,-0.0061385594,0.001756692,-0.0069216685,-0.008693871,-0.0059155384,-0.008989764,0.0072908076,-0.0057959585,0.008295017,-0.0072123096,0.00345954,0.009677645,-0.007807245,-0.0099768825,-0.0043261596,-0.0026904158,-0.00025724224,-0.008875539,-0.008604314,0.0027773564,-0.008221564,-0.009056588,-0.0023400616,-0.0085992385,-0.0070815478,-0.008403233,-0.0002854582,-0.0045281714,0.006643902,0.0015028808,-0.003353509,0.0061285184,-0.0060262983,-0.0046094223,-0.0072501027,-0.004298662,-0.001825084,0.0064718192,-0.0027568594,0.004934006,0.0068941424,-0.0074690413,0.004542462,0.006126858,-0.002972745,0.0066361814,0.006113723,-0.0064317244,-0.006776195,0.002567302,-0.0016131768,-0.0060557397,0.009524254,-0.0051169097,-0.0065267053,-0.00013797464,-0.0026817399,0.00046185742,-0.0035594173,-0.00041053313,-0.0006918486,0.0008243958,0.008265607,-0.0057708826,-0.0016511609,0.0055489545
artery,0.008161125,-0.004410482,0.008899216,0.008291129,-0.0044049183,0.00022479685,0.004328548,-0.0037746928,-0.0056102974,-0.006499364,-0.0007485891,-0.00038284267,0.004499273,-0.0024097105,-8.79747e-05,0.0024759902,0.004877378,-0.00012701754,-0.0062712943,-0.009340732,8.843645e-05,0.006813865,0.0014140606,-0.008988329,-0.00791515,0.006524987,-0.0038520794,0.0061508073,-0.0068298476,0.008492455,-0.006391292,0.003286797,-0.0010316814,-0.0068401624,-0.0033431326,-0.0009853508,-0.0054524685,-0.0012429834,-0.0076218345,0.0025253007,0.009054838,-0.0024269018,-0.00097597425,0.003663201,0.008821848,-0.0058483793,-0.0069317785,-0.0029924016,0.009134329,0.0008718513,-0.008650226,-0.0015400709,0.00962658,-0.0076096845,-0.005388729,0.00934994,-0.0090436665,0.003933339,0.00056703907,0.006652255,0.008377012,-0.002743826,-0.004045496,0.0088088615,0.0021185265,0.0063350494,-0.00947867,0.009738121,-0.0014639737,-0.00594148,0.0029548192,-0.00047233488,0.00477335,-0.0022963027,-0.004125643,0.0023432607,0.008260864,-0.004967022,0.002706782,-0.007984255,-0.0068533206,-0.00047569477,-0.008868104,0.0028849638,0.0015592362,-0.0022368687,0.0051165093,0.009730932,0.008569275,-0.0019269049,0.0021666018,-0.0039590886,-0.008354883,0.0063713444,-0.0019292108,-0.0006172547,-0.00158197,-0.004609505,0.004054032,-0.004365528
accident,-0.009629232,0.008960663,0.0041461354,0.009266575,0.006630993,0.0028718608,0.009951622,-0.0043515163,-0.0068157236,0.0042136926,0.0036636165,-0.0057315947,0.009774765,-0.0035586357,0.009611353,0.0008171406,-0.006355779,-0.0020192883,-0.0073904996,-0.0030318883,0.0010795301,0.009659769,0.009360857,-0.0066423607,0.0035049291,0.0023293144,-0.002540956,-0.009350578,0.00096717046,-0.008141111,0.006339426,-0.005813969,0.005652523,0.009775721,-0.00025041308,0.00469545,-0.001830269,0.007345686,0.0039040875,-0.009124033,-0.002417265,0.003612428,-7.9969934e-05,-0.0011129605,-0.00093819015,-0.001704733,0.00055627344,0.0041395444,-0.0042702076,-0.0039172866,-9.923204e-06,0.00019658927,-0.00015673312,-0.0048584123,0.0042892057,-0.0021445898,0.0020766107,0.00069008855,0.0059661586,-0.0068434193,-0.0067938752,-0.004392736,0.009445258,-0.0016146178,-0.009445973,-0.00046102892,-0.004506485,0.0061100964,-0.009728102,0.0029323718,-0.009351291,0.0012873982,0.006076852,0.007391632,-0.007571192,-0.0060534333,-0.006911543,-0.007905681,-0.009589759,-0.0021015527,-0.0008500946,-0.0072217346,0.006753191,0.0011827394,0.0058664763,0.0014395739,0.0008766468,-0.0073910654,-0.002146626,0.0042482545,-0.0050173146,0.0012152174,0.002870363,-0.0015155935,0.010027569,0.008367194,0.0025601732,0.007093489,0.0059136986,-0.0056487657
shortness,-0.005170253,-0.0066623483,-0.0077693574,0.008327961,-0.0019713254,-0.0068744086,-0.004147962,0.0051555056,-0.0028882772,-0.003771379,0.0016240417,-0.0027780184,-0.0015939967,0.0010851467,-0.0029719286,0.008527071,0.00387324,-0.009977696,0.006269023,-0.006767641,0.00078356493,0.0044167796,-0.005091009,-0.0021278728,0.008093134,-0.004251834,-0.0076553645,0.009254903,-0.0021443078,-0.004734021,0.008573051,0.00430805,0.0042860433,0.009285821,-0.008454626,0.005248325,0.0020099743,0.004201261,0.0017178754,0.004458468,0.0045065754,0.006106897,-0.0031805318,-0.0045862226,-0.00043922337,0.0025067732,-0.00329977,0.0060641626,0.004163845,0.0077993195,0.0025905771,0.008127267,-0.0013676722,0.008051592,0.0037535138,-0.008065988,-0.003940309,-0.002474501,0.0048791603,-0.0009015848,-0.0028374933,0.007847109,0.0093601225,-0.0016533763,-0.00517683,-0.004730215,-0.0048219534,-0.009582992,0.0013443845,-0.0042265584,0.002542226,0.0056057945,-0.004062023,-0.009590786,0.0015746623,-0.006704501,0.0025154075,-0.0037938107,0.007068647,0.00063043204,0.0035448084,-0.0027370253,-0.0017379574,0.007676959,0.0014196194,-0.0058794054,-0.0078174835,0.0012305126,0.006472808,0.0055434536,-0.008986231,0.008618658,0.004061071,0.007487196,0.0097713005,-0.0072734863,-0.009066542,0.0058221985,0.009394687,0.0035082633
